ID,Text_ro,Text_rom,ro,rmy
,,,"Cum a intrat în Casa lui Dumnezeu, în zilele marelui preot Abiatar, şi a mîncat pînile pentru punerea înaintea Domnului, pe cari nu este îngăduit să le mănînce decît preoţii? Şi cum a dat din ele chiar şi celor ce erau cu el?","Sar gelo ando kher le Devlesko kana o Abiathar sas o baro rasha, ai xalias andal halome manrhe kai nas leske slobodo te xal, vai kodolenge kai sas lesa, numa le rashange."
,,,"Totuş ea va fi mîntuită prin naşterea de fii, dacă stăruiesc cu smerenie în credinţă, în dragoste şi în sfinţenie.","Numa e zhuvli avela skepime kana avela la glati , numa te inkerela ando pachamos, ande dragostia, ai ando vuzhimos, ai ando prostomo."
,,,",,Oamenilor, de ce faceţi lucrul acesta? Şi noi sîntem oameni de aceeaş fire cu voi; noi vă aducem o veste bună, ca să vă întoarceţi dela aceste lucruri deşerte la Dumnezeul cel viu, care a făcut cerul, pămîntul şi marea, şi tot ce este în ele.","""Murhe vortacha, sostar keren kadia? Iame sam manush sar tumende, ai anas tumenge ek lashi viasta, ai sikavas tumenge te na mai keren kadala dieli kai nai lashi, ai te bolden tume karing O Del o zhuvindo kai kerdia o cheri, e phuv, e maria, ai so godi si."
,,,Şi noi am văzut şi mărturisim că Tatăl a trimes pe Fiul ca să fie Mîntuitorul lumii.,Ai ame dikhliam ai phenas ke O Dat tradia peske Shaves te avel O Skepitori la lumiako.
,,,"Toţi cari aţi fost botezaţi pentru Hristos, v'aţi îmbrăcat cu Hristos.","Tume savorhe sanas bolde te aven astarde le Kristosa, ai tume kadia lian o nevo traio le Kristosko pe tumende."
,,,"ca să nu mai fim copii, plutind încoace şi încolo, purtaţi de orice vînt de învăţătură, prin viclenia oamenilor şi prin şiretenia lor în mijloacele de amăgire;","Antunchi chi mai avasa glate, kai parhuven penge ginduria ande so pachanpa, ke phendia amenge vari kon aver diela, vai zhanglia sar te xoxavel ame, ai kodo xoxaimos kerel te miazol amenge ke chachimos si."
,,,Căci Ioan încă nu fusese aruncat în temniţă.,Ke o Iovano nas inker thodino ande temnitsa.
,,,"Şi pacea lui Dumnezeu, care întrece orice pricepere, vă va păzi inimile şi gîndurile în Hristos Isus.","Ai e pacha le Devleski kai nakhel opral pa so godi o manush sai haliarel, garavela tumare ile ai tumare ginduria ando Jesus Kristo."
,,,"aşa încît Hristos să locuiască în inimile voastre prin credinţă; pentruca, avînd rădăcina şi temelia pusă în dragoste,",Ai O Kristo te beshel ande tumare ile pala pachamos. Mangav te avel tumaro pachamos zuralo ande dragostia le Devleski.
,,,"Dar eu aş vrea ca voi să fiţi fără griji. Cine nu este însurat, se îngrijeşte de lucrurile Domnului, cum ar putea să placă Domnului.","Manglemas te aven bi darako. Kodo kai nai ansurime rodel le dieluria le Devleske, sar te avel drago le Devleske."
,,,Şi slăveau pe Dumnezeu din pricina mea.,Ai naisinas le Devles anda mande.
,,,",,Nu v'am poruncit noi cu tot dinadinsul să nu învăţaţi pe norod în Numele acesta? Şi voi iată că aţi umplut Ierusalimul cu învăţătura voastră, şi căutaţi să aruncaţi asupra noastră sîngele acelui om.``","""Ke phendiamas tumenge te na mai sicharen le narodos ande kado anav? Ai akana sa o Jerusalem si sichardo tumendar, ai tume mangen te perel pe amende o rat kodole manushengo."""
,,,"Adevărat, adevărat, vă spun, că cine crede în Mine, are viaţa vecinică.","Chachimasa, chachimasa, phenav tumenge: kodo kai pachalpe ande mande avela les o traio kai chi mai getolpe."
,,,"Căsătoria să fie ţinută în toată cinstea, şi patul să fie nespurcat, căci Dumnezeu va judeca pe curvari şi pe preacurvari.","Savorhe trobul te respektin o meritimos. O Del dosharela kodola kai keren zhungale le statosa ai kurvisia, ai kodola kai chi keren vorta ando meritimos."
,,,"Cînd a ajuns în Ierusalim, Saul a căutat să se lipească de ucenici; dar toţi se temeau de el, căci nu puteau să creadă că este ucenic.","Kana areslo ande Jerusalem, o Saul mangelas te zhal te beshel le disiplonsa; numa sa le disipluria daranas lestar, ke chi pachanas ke wo sas ek disiplo le Devlesko."
,,,"toate le-ai supus supt picioarele lui.`` În adevăr, dacă i -a supus toate, nu i -a lăsat nimic nesupus. Totuş, acum, încă nu vedem că toate îi sînt supuse.","Tu thodian swako fielo telal leske punrhe."" Nai khanchi kai chi kerel sar wo mangel, numa chi dikhliam sa le dieli te kerdion inker."
,,,"Drept răspuns, Isus le -a zis: ,,Chiar dacă Eu mărturisesc despre Mine însumi, totuş mărturia Mea este adevărată; căci Eu ştiu de unde am venit şi unde Mă duc, dar voi nu ştiţi nici de unde vin nici unde Mă duc.","O Jesus phendia lenge, ""Marka ke me dav duma pa mande, so phenav si chachimos, ke me zhanav katar avilem, ai kai zhav. Numa tume chi zhanen katar avav ai kai zhav."
,,,"După ce au plecat îngerii de la ei, ca să se întoarcă în cer, păstorii au zis unii către alţii: ,,Haidem să mergem pînă la Betleem, şi să vedem ce ni s'a spus şi ce ne -a făcut cunoscut Domnul.``","Kana le angeluria geletar katar le pastuxuria te zhantar ando rhaio, le pastuxuria denas pe duma mashkar pende, ""Aven ando Bethlehem ke trobul te dikhas so si so O Del phendia amenge."""
,,,"Dar, dacă nu te ascultă, mai ia cu tine unul sau doi inşi, pentruca orice vorbă să fie sprijinită pe mărturia a doi sau trei martori.","Numa te na ashunela tute, le tusa iek vai dui manush kashte te avel dui vai trin marturia ka divano."
,,,"Căci care este mai mare: cine stă la masă, sau cine slujeşte la masă? Nu cine stă la masă? Şi Eu totuş, sînt în mijlocul vostru ca celce slujeşte la masă.","Kon si o mai baro, kodo kai beshel kai skafidi vai kodo kai podail? Kodo si kai skafidi numa me sim mashkar tumende sar kodo kai podail."
,,,",,Se poate opri apa ca să nu fie botezaţi aceştia, cari au primit Duhul Sfînt ca şi noi?``","""Sai aterdiaras kadale manushen te aven bolde ando pai. Akana kai hulisto O Swunto Duxo pe lende sar amende?"
,,,"Ucenicii I-au pus întrebarea următoare: ,,Oare de ce zic cărturarii că întîi trebuie să vină Ilie?``","Leske disipluria phushle les, ""Sostar le Gramnoturia phenen ke o Elijah trobul te avel mai anglal?"""
,,,"Sînt strîns din două părţi: aş dori să mă mut şi să fiu împreună cu Hristos, căci ar fi cu mult mai bine;","Haliarav ke tsirdino sim pa dui riga, drago mange te mekav kodo traio te avav le Kristosa, ai kodia avela mai mishto."
,,,"Veniţi-vă în fire, cum se cuvine, şi nu păcătuiţi! Căci sînt între voi unii, cari nu cunosc pe Dumnezeu: spre ruşinea voastră o spun.","Ambolden palpale tumende so si mishto, ai na keren bezex, ke uni chi zhanen le Devles: phenav tumaro lazhav."
,,,"Isus i -a auzit, şi le -a zis: ,,Nu cei sănătoşi au trebuinţă de doftor, ci cei bolnavi.","O Jesus ashundia ai phendia lenge, ""Le manush kai si saste chi trobul le dokxtoro, le naswalen trobul."
,,,"Pe vremea aceea, s'a făcut o mare turburare cu privire la Calea Domnului.",Ande kodia vriama kerdilia but bunto pala zakono le Devlesko.
,,,"Dar cetăţenia noastră este în ceruri, de unde şi aşteptăm ca Mîntuitor pe Domnul Isus Hristos.","Numa ame, amaro kher si ando rhaio, ai azhukeras sa amare ilesa te avel anda rhaio amaro skepitori, le Devles O Jesus Kristo."
,,,"Căci inima acestui popor s'a împietrit; au ajuns tari de urechi, şi-au închis ochii, ca nu cumva să vadă cu ochii, să audă cu urechile, să înţeleagă cu inima, să se întoarcă la Dumnezeu, şi să -i vindec.`","Ke o ilo kodole manushengo zurailo, ai le khanensa dabai ashunen, phandade penge iakha. Daratar ke kam te dikhen le iakhensa, ai ashunen le khanensa, ai haliaren peske ilesa, ai ambolden palpale ka Del, te sastiarav le."""
,,,"În casă, ucenicii L-au întrebat iarăş asupra celor de mai sus.","Kana gele palpale ando kher, le disipluria phushle katar O Jesus pa leske vorbi."
,,,"Şi li s'au deschis ochii. Isus le -a poruncit cu tot dinadinsul şi le -a zis: ,,Vedeţi, să nu ştie nimeni.``","Ai lenge iakha phuterdile. O Jesus phendia lenge, ""Len tume sama, te na zhanel khonik!"""
,,,"Şi Dumnezeu, care a înviat pe Domnul, ne va învia şi pe noi cu puterea Sa.","O Del kai zhuvindisardia amare Devles, zhuvindila vi amende peski putiera."
,,,"dar Cuvîntul Domnului rămîne în veac. Şi acesta este Cuvîntul, care v-a fost propovăduit prin Evanghelie.",Ai kodia Vorba si e lashi viasta kai ashundian.
,,,"Dupăce L-au răstignit, I-au împărţit hainele între ei, trăgînd la sorţi, ca să ştie ce să ia fiecare.","Ai kana karfosarde les po trushul, hulade leske tsalia mashkar pende, ai thodepe te dikhen kon niril peski raxami."
,,,"În sfîrşit, S'a arătat celor unsprezece, cînd şedeau la masă; şi i -a mustrat pentru necredinţa şi împietrirea inimii lor, pentru că nu crezuseră pe cei ce -L văzuseră înviat.","Pala kodia avilo ka le desh u iekenge sar xanas andek than, ai dino le trad, phendia lenge zurale vorbi ke chi pachanpe ai zurade lengo ilo, ke chi pachaie kodolen kai dikhle les pala o zhuvindimos."
,,,"Aşa că Legea, negreşit, este sfîntă, şi porunca este sfîntă, dreaptă şi bună.","O zakono Swunto lo, ai vorta, ai lasho."
,,,"Tot aşa şi voi, dupăce veţi face tot ce vi s'a poruncit, să ziceţi: ,,Sîntem nişte robi netrebnici; am făcut ce eram datori să facem.``","Vi tume, kana kerdian so godi sas phendo tumenge te keren, phenen, ""Ame sam ferdi slugi; ame kerdiam ferdi so sas phendo amenge te keras."""
,,,"Celor neînsuraţi şi văduvelor, le spun că este bine pentru ei să rămînă ca mine.","Kodola kai nai ansurime ai le phivlia, phenav lenge, ke mishto lenge te beshen sar mande."
,,,"Luaţi jugul Meu asupra voastră, şi învăţaţi dela Mine, căci Eu sînt blînd şi smerit cu inima; şi veţi găsi odihnă pentru sufletele voastre.","Le murhe ioke pe tute ai sicho mandar ke domolo sim ai kovlo ando ilo, ai si te arakhen hodina tumare duxoske."
,,,"le vei face sul ca pe o manta, şi vor fi schimbate; dar Tu eşti acelaş; şi anii Tăi nu se vor sfîrşi.``",ai iek dies tu O Jesus doblisaresa le ai thos le rigate ai les aver. Numa tu Jesus shoxar chi parhuves tu ai chire bersh shoxar chi getolpe.
,,,"Dar Isus le -a zis: ,,Lăsaţi -o în pace; de ce -i faceţi supărare? Ea a făcut un lucru frumos faţă de Mine;","O Jesus phendia, ""Mek la trankilo; Sostar dosharen kadala zhuvlia? Ke so woi kerdias mange si de sa shukar diela."
,,,"Cei ce făcuseră legămîntul acesta, erau mai mulţi de patruzeci.",Kodola kai linepe te keren kodia diela sas mai but sar shtarvardesh zhene.
,,,"Ceilalţi ucenici i-au zis deci: ,,Am văzut pe Domnul!`` Dar el le -a răspuns: ,,Dacă nu voi vedea în mînile Lui semnul cuielor, şi dacă nu voi pune degetul meu în semnul cuielor, şi dacă nu voi pune mîna mea în coasta Lui, nu voi crede.``","Le kolaver disipluria phende leske, ""Ame dikhliam le Devles."" Numa wo phendia lenge, ""Te na dikhava ande leske vas le semnuria le karfiango, ai te na tsava murho nai andel semnuria le karfiange, ai te na tsava murho vas ande lesko prashav, chi pachava."""
,,,şi pentrucă acolo a fost găsit sîngele proorocilor şi al sfinţilor şi al tuturor celor ce au fost jungheaţi pe pămînt.``,"Ai ando kodo foro sas arakhlia o rat le profetongo ai le shavenge le Devleske, ai sa kodolenge kai sas mudarde pe lumia."""
,,,"Eu deci, după ce voi pune să -l bată, îi voi da drumul.``","Phenav le ketanenge te maren les le bichosa, ai porme mekav les te zhaltar."""
,,,"Mai avea un singur fiu prea iubit; la urmă, l -a trimes şi pe el la ei. ,Vor primi cu cinste pe fiul meu!` zicea el.","Ta ando gor sas les ieke shaves, kai sas leske de sa drago, ai wo tradia lende peske shaves, ai phenelas, ""Si te preznain murhe shaves."""
,,,"Şi eram încă necunoscut la faţă Bisericilor lui Hristos, cari sînt în Iudea.",Ande kodia vriama o narodo le khangeriango le shave le Devleske kai sas ande Judea chi zhanenas man.
,,,"au fost ucişi cu pietre, tăiaţi în două cu ferestrăul, chinuiţi; au murit ucişi de sabie, au pribegit îmbrăcaţi cu cojoace şi în piei de capre, lipsiţi de toate, prigoniţi, munciţi, -","Uni sas mudarde le baxensa. Uni sas shinde ande kotora. Won sas zumade. Uni sas mudarde le sabiensa. Won line pe lende le morchi katar le bakre ai buzhne ai nai le kanchi, won sas bokhale ai naswale, nas dosta lenge, won phiravenaspe ande pusta ai pel plaia, garade andel gropuria. Won sas pra lashe pala kadia lumia."
,,,"pe cînd îngerii, cari sînt mai mari în tărie şi putere, nu aduc înaintea Domnului nicio judecată batjocoritoare împotriva lor.","Ke le angeluria, kai si mai zurale ai kai si le mai but putiera sar kodola, chi troman te maren mui katar le dieli kai si swunto angla Del."
,,,"pe calea cea nouă şi vie, pe care ne -a deschis -o El, prin perdeaua din lăuntru, adică trupul Său: -","Kadia si o nevo drom kai si freshko ai del traio, ke O Kristo phuterdia e zanavesk kana shindili ande donde de opral zhi tele -lesko stato- te mekel ame te zhas andre ka o swunto than le Devlesko."
,,,"să vă purtaţi într'un chip vrednic de Dumnezeu, care vă cheamă la Împărăţia şi slava Sa.","Ame diam tume zor ando pachamos, ai raduisardiam tumare ile, ame mangliam tumendar sa amare ilesa te traiin iek traio kai si drago le Devleske, wo kai akhardia tume te aven ande lesko rhaio ai ande lesko luvudimos."
,,,"Îngerul i -a răspuns: ,,Duhul Sfînt Se va pogorî peste tine, şi puterea Celui Prea Înalt te va umbri. De aceea Sfîntul care Se va naşte din tine, va fi chemat Fiul lui Dumnezeu.","O angelo dia atweto, ""O Swunto Duxo avela pe tute, ai e putiera le Devleski. Vusharela tu sar iek vushalin, anda kodia avela akhardo Swunto O Shav le Devlesko ek glata kai kerdiola."
,,,"Ei se vor război cu Mielul; dar Mielul îi va birui, pentrucă El este Domnul domnilor şi Împăratul împăraţilor. Şi cei chemaţi, aleşi şi credincioşi, cari sînt cu El, de asemenea îi vor birui.","Kadala amperaturia marena ai keren marimos le Bakriorhosa. Numa O Bakriorho nirila o marimos ke wo si O Gazda le Gazdenge ai O Amperato le Amperatosko, ai lesko narodo kai si lesa si akharde, ai alosarde ai keren vorta angle leste."""
,,,"Filip a alergat, şi a auzit pe Etiopian citind pe proorocul Isaia. El i -a zis: ,,Înţelegi tu ce citeşti?``","O Filip pashilo pasha leste nashimasa, ai ashunelas sar o Ethiopiano jinelas ande Vorba le Devleski pa profeto Isaiah, ai phushlia les, ""Haliares so jines?"""
,,,"Gîndul acesta dar să ne însufleţească pe toţi, cari sîntem desăvîrşiţi; şi dacă în vreo privinţă sînteţi de altă părere, Dumnezeu vă va lumina şi în această privinţă.","Ame kai zhanas mishto andel dieli le Devleske trobul te avel ame iek gindo, numa te si uni anda tumende te gindina aver fielo, O Del sikavela tumenge."
,,,"Urmaţi-mă pe mine, fraţilor, şi uitaţi-vă bine la cei ce se poartă după pilda, pe care o aveţi în noi.","Murhe phral, keren savorhe sar mande.. Ame sikadiam le kolavrenge sar te keren, dikhen pe kodola kai phiren sar tume sichardian le."
,,,"Cum putem noi oare să mulţămim în deajuns lui Dumnezeu cu privire la voi, pentru toată bucuria, pe care o avem din pricina voastră, înaintea Dumnezeului nostru?",Sar ame naisisarasa amare Devles dosta pa tumende pala sa o raduimos kai dian amen angla leste.
,,,"Tot aşa, şi tu ai cîţiva cari, deasemenea, ţin învăţătura Nicolaiţilor, pe care Eu o urăsc.","Ai si uni mashkar tumende kai lenpe pala o sicharimos le Nicolaitanonge, ai won keren sakadia gratsia mange."
,,,"Toate noroadele, mirate, ziceau: ,,Nu cumva este acesta Fiul lui David?``","Sa o narodo chudisaile, ai phenenas, ""Sai avela kado o Shav le Davidosko?"""
,,,"şi vor zice: ,,Vai! vai! Cetatea cea mare, care era îmbrăcată cu in foarte supţire, cu purpură şi cu stacojiu, care era împodobită cu aur, cu pietre scumpe şi cu mărgăritare!","Won phenenas, ""Nasul si! Nasul le forosko, shukar sas o foro, sar ek zhuvli kai sas pe late tsalia, brazba ai lole selia, ai pe late sas sumnakai ai perli ai bax kai si kuchi."
,,,"Dacă împliniţi Legea împărătească, potrivit Scripturii: ,,Să iubeşti pe aproapele tău ca pe tine însuţi``, bine faceţi.","E mishto keren, te kerena o zakono le rhaiosko sar mothol E Vorba le Devleski, te avel tuke drago cho vortako ""Sar san tu tuke drago."""
,,,"Ostaşii au fost de părere să omoare pe cei întemniţaţi, ca să nu scape vreunul prin înot.","Le ketani mangenas te mudaren kodolen kai sas phandade, ke dar sas lenge ke xoten ande maria ai zhantar naimasa."
,,,"Toată cetatea s'a tulburat. Au năvălit cu toţii într-un gînd în teatru, şi au luat cu ei pe Macedonenii Gaiu şi Aristarh, tovarăşii de călătorie ai lui Pavel.","Sa o foro buntisailosas, ai line pesa o Gaius ai o Aristarchus, dui andal Macedonia, kai sas le vortacha le Pauloske kai zhanas lesa, ai gele savorhe andek bari soba."
,,,"cărora Dumnezeu a voit să le facă cunoscut care este bogăţia slavei tainei acesteia între Neamuri, şi anume: Hristos în voi, nădejdea slavei.","O Del manglia te del le te zhanen o baro mishtios kai si ande kodo diela kai sas garadi. Mashkar sa le manush kai chi zhanen le Devles. So si kodo lashimos garado? Te zhanen ke O Kristo ande tumende lo, ai del tume ande tumaro ilo te zhanen ke vi tume avena ando rhaio le Devlesa."
,,,"Dar cine nu are aceste lucruri, este orb, umblă cu ochii închişi, şi a uitat că a fost curăţit de vechile lui păcate.","Numa kodo kai nai les kadala dieli, kadia de xantsi dikhel ta sar iek manush korho lo, wo busterdia ke vuzhardo sas anda peske bezexa kai sas les mai anglal."
,,,"Ceice mergeau înainte, îl certau să tacă; dar el ţipa şi mai tare: ,,Fiul lui David, ai milă de mine!``","Le manush kai sas anglal tsipinas pe leste te ashel, numa wo tsipilas mai zurales, ""Tu Shav le Davidosko! Av tuke mila anda mande."""
,,,"Taina celor şapte stele, pe cari le-ai văzut în mîna dreaptă a Mea şi a celor şapte sfeşnice de aur: cele şapte stele sînt îngerii celor şapte Biserici; şi cele şapte sfeşnice, sînt şapte Biserici.","O garadimos le efta chererhange kai dikhes ando murho chacho vas ai le efta lamponge znachin: le efta chererhaia si le angeluria le efta khangeriange, ai le efta lampuria si le efta khangeria."
,,,"Să se depărteze de rău şi să facă binele, să caute pacea, şi s-o urmărească.","Trobul te na mai kerel o nasulimos, numa o mishtimos; trobul te rodel e pacha, ai te lelpe pala late."
,,,"Înainte de toate, să ştiţi că în zilele din urmă vor veni batjocoritori plini de batjocuri, cari vor trăi după poftele lor,","Ai te zhanen mai anglal, kai andel ultimo dies avela manush kai traiin sar won mangena ai marena mui tumendar."
,,,"Cercetaţi Scripturile, pentru că socotiţi că în ele aveţi viaţa vecinică, dar tocmai ele mărturisesc despre Mine.","""Sichon o ramomos ande Vorba le Devleski, ke tume gindin kai arakhena ande late o traio kai chi mai getolpe."
,,,"Smeriţi-vă dar supt mîna tare a lui Dumnezeu, pentru ca, la vremea Lui, El să vă înalţe.","No meken tume tele tela vas o baro le Devlesko, saxke te vazdel tume kana avela e vriama."
,,,"Dar El, drept răspuns, a zis: ,,Mama Mea şi fraţii Mei sînt ceice ascultă Cuvîntul lui Dumnezeu, şi -l împlinesc.``","O Jesus phendia lenge, ""Murhi dei ai murhe phral si kodola kai ashunen E Vorba le Devleski, ai kai keren lesko zakono."""
,,,"Tînărul I -a zis: ,,Toate aceste porunci le-am păzit cu grijă din tinereţa mea; ce-mi mai lipseşte?``","O terno manush phendias, ""Sa kadala zakonuria ankerdem de sar sim tsinorho: So mai trobul te kerav?"""
,,,"Cine dintre voi, dacă are un rob, care ară sau paşte oile, îi va zice, cînd vine dela cîmp: ,,Vino îndată, şi şezi la masă?``","Savo anda tumende, kai si les ek sluga kai lasharel e phuv vai lel sama katar le bakre, phenela leske kana avela pal kimpuria. ""Aidi sigo ai tho tu kai skafidi?"""
,,,"căci toţi aceştia au aruncat la daruri din prisosul lor; dar ea a aruncat din sărăcia ei, tot ce avea ca să trăiască.``",Ke le barvale thode xantsi love anda lengo barvalimos; numa woi thodia so godi sas la te traiil.
,,,"Eu vă voi fi Tată, şi voi Îmi veţi fi fii şi fiice, zice Domnul Cel Atotputernic.``","Me avava tumaro Dat, ai tume aven murhe shave ai murhe sheia, mothol O Del o Baro."""
,,,"Au ajuns în Efes; şi Pavel a lăsat acolo pe însoţitorii lui. A intrat în sinagogă, şi a stat de vorbă cu Iudeii,","Areslo ando Ephesus, ai o Pavlo meklia peske vortakon kotse; ai gelo ande synagogue, ai kotse delas duma le Zhidovonsa."
,,,"Sau, am făcut un păcat, cînd m'am smerit pe mine însumi, ca să fiţi înălţaţi voi, şi v'am vestit fără plată Evanghelia lui Dumnezeu?",Kana andem tumenge e lashi viasta le Devleski ivia kerdem kodia; meklema man tele saxke te vazden tume. So aliaren ke shubisailem kai kerdem kadia?
,,,Harul Domnului Isus Hristos să fie cu voi.,"O mishtimos le Devlesko O Jesus Kristo, te avel tumensa."
,,,"Şi voi dar fiţi gata, căci Fiul omului va veni în ceasul în care nu vă gîndiţi.``","Vi tume, aven gata. Ke O Shav le Manushesko avela ka chaso kai tume chi zhanena."""
,,,"(Dacă cel puţin aţi auzit de isprăvnicia harului lui Dumnezeu, care mi -a fost dată faţă de voi.",tume ashundian kai O Del ande pesko lashimos dia ma kadia buchi te kerav tumenge.
,,,"După ce a rostit aceste vorbe, Isus a plecat cu ucenicii Săi dincolo de pîrîul Chedron, unde era o grădină, în care a intrat El şi ucenicii Lui.","Kana O Jesus phendiasas kadala vorbi, gelo peske disiplonsa inchal o pai kai bushol Cedron, kotse sas iek sado, ai wo gelo andre peske disiplonsa."
,,,"Şi acum, Doamne, uită-Te la ameninţările lor, dă putere robilor Tăi să vestească Cuvîntul Tău cu toată îndrăzneala,","Akana, Devla, dikh so roden te aterdiaren che slugen te mothon chi vorba bare chachimasa."
,,,"Dacă am sămănat printre voi bunurile duhovniceşti, mare lucru este dacă vom secera bunurile voastre vremelnice?","Te chidisardian le mishtimata mashkar tumende, bari dieli si te chidasa tumendar so si le statoske."
,,,"Şi, dupăce a nimicit şapte popoare în ţara Canaanului, le -a dat de moştenire pămîntul lor, pentru aproape patru sute cincizeci de ani.","Mudardia efta vitsen kai sas anda Canaan, ai dia e phuv palpale ka pesko narodo te beshen."
,,,"Binecuvîntată este Împărăţia care vine, Împărăţia părintelui nostru David! Osana în cerurile prea înalte!``","Raduime si e amperetsia amari dadeski o David, kai avel ando anav le Devlesko: ""Hosana zhi ando rhaio!"""
,,,"Ci, cînd dai o masă, cheamă pe săraci, pe schilozi, pe şchiopi, pe orbi.","Numa kana keres pachiv, akhar le choren, le bange, kodola kai nashti phiren, ai le korhen:"
,,,căci noi nu putem să nu vorbim despre ce am văzut şi am auzit.``,"Ke nashtisaras te garavas, ai te na das duma pa so dikhliam ai so ashundiam."""
,,,"Atunci a venit unul din fruntaşii sinagogii, numit Iair. Cum L -a văzut, fruntaşul s'a aruncat la picioarele Lui,","Ai, eta, iek baro andai synagogue avilo kai busholas Jairus, ai kana dikhlia O Jesus, shudiape kal punrhe,"
,,,"şi casele văduvelor le mănîncă, în timp ce, de ochii lumii, fac rugăciuni lungi. De aceea vor lua o mai mare osîndă.``","Ke tume xan le phivliange khera, ai rhugin tume lungo rhugimos te miazol ke lashe san: anda kodia si te perel mai phari kris pe tumende."""
,,,"Şi tot norodul, care venise la priveliştea aceea, cînd a văzut cele întîmplate, s'a întors, bătîndu-se în piept.","Ai sa o narodo kai chidelas andek than te dikhel, kana dikhle so kerdilia, marenas pe kolin ai geletar khere."
,,,"Paharul binecuvîntat, pe care -l binecuvîntăm, nu este el împărtăşirea cu sîngele lui Hristos? Pînea, pe care o frîngem, nu este ea împărtăşirea cu trupul lui Hristos?","Kana das o rhugimos pala o daxtai ai piias e mol kai skafidi le Devleski, nai kodia o rat le Kristosko? O manrho kai xas kai skafidi le Devleski nai kodia andek than ando stato le Kristosko?"
,,,"Şi am auzit altarul zicînd: ,,Da, Doamne Dumnezeule, Atotputernice, adevărate şi drepte sînt judecăţile Tale!``","Ashundem ek glaso katar o altari, phenel, ""Devla, O Del, O Del la putierako! So tu manges pa manush si vorta ai chacho."""
,,,"Şi am auzit numărul celor ce fuseseră pecetluiţi: o sută patru zeci şi patru de mii, din toate seminţiile fiilor lui Israel.",Porme ashundem sode zhene sas kai sas le o semno pe lende: sas iek shel ai shtarvardesh tai shtar mi anda sa le vitsi le Israelonge kai premisarde o semno le Devlesko:
,,,"Mulţămim lui Dumnezeu, Tatăl Domnului nostru Isus Hristos, căci ne rugăm neîncetat pentru voi,","Ame das o naisimos sagda ka Del ai ka Dat amaro Devles O Jesus Kristosko, kana rhugisavas tumenge."
,,,"Şi mi-am adus aminte de vorba Domnului, cum a zis: ,Ioan a botezat cu apă, dar voi veţi fi botezaţi cu Duhul Sfînt.`","Ai antunchi dema goji kal vorbi kai phendiasas O Del, o Iovano boldia ando pai, numa tume avena bolde ando Swunto Duxo."
,,,"Ele auzeau doar spunîndu-se: ,,Cel ce ne prigonea odinioară, acum propovăduieşte credinţa, pe care căuta s'o nimicească odinioară.``","Ferdi zhanenas so ashunde katar le kolaver, ""Kodo kai mai anglal chinuilas amen del duma akana pa pachamos kai mai anglal rodelas te rimol!"""
,,,"Dar Isus le -a răspuns: ,,Tatăl Meu lucrează pînă acum; şi Eu de asemenea lucrez.``","Numa O Jesus phendia lenge, ""Murho Dat kerel buchi sorho dies, ai vi me kerav bichi."""
,,,"Dar n'am vrut să fac nimic fără învoirea ta, pentruca binele, pe care mi -l faci, să nu fie silit, ci de bună voie.","Numa chi manglem te kerav kanchi bi te phushav tutar, chi mangav te thav tu pe zor te keres mange mishtimos, ke mange mai drago te keres tu anda tute."
,,,"Atîtea bogăţii într'un ceas s'au prăpădit!`` -Şi toţi cîrmacii, toţi ceice merg cu corabia pe mare, marinarii, şi toţi ceice cîştigă din mare, stăteau departe;","Ando iek chaso, iek momento sa lako barvalimos sas pharhado.""O kapitano le pharaxodosko, ai sa le manush kai phiravenpe po le pharaxoduria, ai sa le manush kai kerenas buchi po le pharaxoduria beshle dur latar."
,,,"ca să poţi cunoaşte astfel temeinicia învăţăturilor, pe cari le-ai primit prin viu grai.",Me kerav kadia saxke tume te sai len po gor o chachimos kai sas tumenge phendo.
,,,"Era ziua Pregătirii, şi începea ziua Sabatului.","Parashtuine sas, ai o Savato nachinuilas."
,,,"Şi voi, după ce aţi auzit cuvîntul adevărului (Evanghelia mîntuirii voastre), aţi crezut în El, şi aţi fost pecetluiţi cu Duhul Sfînt, care fusese făgăduit,","Vi tume kana ashundian e vorba le chachimaski, e lashi viasta kai andia tumenge o skepimos; tume pachaian tume ando Kristo, antunchi O Del semnosardia tume peske anavesa kana dia tume O Swunto Duxo kai shinadiasas."
,,,"şi nu bărbatul a fost făcut pentru femeie, ci femeia pentru bărbat.",O mursh nas kerdo pala e zhuvli; numa e zhuvli sas kerdi pala mursh.
,,,"La uşa lui, zăcea un sărac, numit Lazăr, plin de bube.","Sas iek manush chorho kai busholas Lazarus, beshelas pasha lesko vudar, peske pugniansa kai sas pe leste."
,,,",,Ce vrei să-ţi fac?`` ,,Doamne,`` a răspuns el, ,,să-mi capăt vederea.``","""So manges te kerav tuke?"" Wo phendia, ""Devla, Phuter murhe iakha te dikhav."""
,,,"I -a măsurat şi zidul, şi -a găsit o sută patruzeci şi patru de coţi, după măsura oamenilor, căci cu măsura aceasta măsura îngerul.",Porme musurilas o tsulo le zidosko ai arakhlia les te avel dui shela ai desh u shov punrhe inchal. O angelo musurilas o foro sar o manush musuril.
